"","CAND_ID","CAND_ELECTION_YR","CMTE_ID","LINKAGE_ID"
"223","H2MA09072",2018,"C00366948",213167
"224","H2MD02160",2018,"C00376673",213169
"225","H2MD05155",2018,"C00140715",213171
"226","H2MD05155",2018,"C00513002",213172
"227","H2MI05119",2018,"C00499947",213187
"228","H2MI11133",2018,"C00656033",218455
"229","H2MI14111",2018,"C00552588",213193
"230","H2MI17023",2018,"C00156612",213194
"231","H2MN07014",2018,"C00253187",213197
"232","H2MN08111",2018,"C00499053",213198
"233","H2MO02102",2018,"C00495846",213199
"234","H2NC01081",2018,"C00305052",213209
"235","H2NC07096",2018,"C00501643",213211
"236","H2NC08185",2018,"C00504522",213214
"237","H2NC08185",2018,"C00548818",213215
"238","H2NC09134",2018,"C00514513",213216
"239","H2NC09134",2018,"C00549477",213217
"240","H2NC11080",2018,"C00503094",213219
"241","H2NC13110",2018,"C00557421",213225
"242","H2NC13110",2018,"C00499236",213224
"243","H2NC13110",2018,"C00573352",213226
"244","H2NJ02037",2018,"C00269340",213233
"245","H2NJ05014",2018,"C00148684",213237
"246","H2NJ05014",2018,"C00299404",213238
"247","H2NJ05014",2018,"C00591909",213239
"248","H2NJ10154",2018,"C00519355",213243
"249","H2NM02126",2018,"C00463836",213245
"250","H2NV00050",2018,"C00502773",213247
"251","H2NV02395",2018,"C00496760",213250
"252","H2NV04011",2018,"C00668228",219488
"253","H2NY00010",2018,"C00271312",213256
"254","H2NY01042",2018,"C00637793",217001
"255","H2NY03089",2018,"C00272211",213259
"256","H2NY06116",2018,"C00516666",213260
"257","H2NY10092",2018,"C00503052",213263
"258","H2NY13096",2018,"C00635722",216882
"259","H2NY13096",2018,"C00593525",213267
"260","H2NY13096",2018,"C00518365",213266
"261","H2NY14037",2018,"C00273169",213268
"262","H2NY17071",2018,"C00290825",213269
"263","H2NY21115",2018,"C00631127",216667
"264","H2NY22139",2018,"C00512426",213270
"265","H2NY22139",2018,"C00557280",213271
"266","H2NY27088",2018,"C00668004",219389
"267","H2OH02085",2018,"C00497818",213276
"268","H2OH03067",2018,"C00373001",213278
"269","H2OH03125",2018,"C00507368",213279
"270","H2OH09031",2018,"C00154625",213283
"271","H2OH09122",2018,"C00592543",213284
"272","H2OH14064",2018,"C00527457",213287
"273","H2OH17109",2018,"C00647834",217367
"274","H2OH17109",2018,"C00647826",217371
"275","H2OH17109",2018,"C00373464",213290
"276","H2OK01143",2018,"C00502393",213292
"277","H2OK02083",2018,"C00498345",213295
"278","H2OK04055",2018,"C00379735",213297
"279","H2OK04055",2018,"C00438481",213298
"280","H2OR01133",2018,"C00500421",213302
"281","H2PA04135",2018,"C00510164",213308
"282","H2PA09035",2018,"C00364935",213311
"283","H2PA09092",2018,"C00519645",213312
"284","H2PA09100",2018,"C00523654",213313
"285","H2PA11098",2018,"C00376004",213314
"286","H2PA14092",2018,"C00510917",213317
"287","H2PA15099",2018,"C00506162",213318
"288","H2PA17079",2018,"C00509968",213320
"289","H2PA18143",2018,"C00372201",213321
"290","H2PA18143",2018,"C00624841",213322
"291","H2SC02042",2018,"C00255562",213327
"292","H2SC02059",2018,"C00368522",213328
"293","H2SC04121",2018,"C00525345",213331
"294","H2SC07066",2018,"C00506048",213334
"295","H2SD00068",2018,"C00681767",221584
"296","H2TN05131",2018,"C00376665",213337
"297","H2TN06030",2018,"C00624841",213341
"298","H2TN07103",2018,"C00376244",213344
"299","H2TN07103",2018,"C00614826",213345
"300","H2TN08077",2018,"C00372722",213348
"301","H2TX00015",2018,"C00254573",213351
"302","H2TX01062",2018,"C00506287",213353
"303","H2TX03118",2018,"C00250720",213355
"304","H2TX03126",2018,"C00566786",213357
"305","H2TX03126",2018,"C00303305",213356
"306","H2TX05121",2018,"C00370650",213358
"307","H2TX05121",2018,"C00497669",213359
"308","H2TX07036",2018,"C00509299",213362
"309","H2TX10113",2018,"C00523902",213364
"310","H2TX14149",2018,"C00502229",213369
"311","H2TX16227",2018,"C00660415",218541
"312","H2TX23082",2018,"C00371302",213379
"313","H2TX26051",2018,"C00632463",216718
"314","H2TX26093",2018,"C00372532",213384
"315","H2TX27190",2018,"C00513531",213388
"316","H2TX27216",2018,"C00663815",218927
"317","H2TX29030",2018,"C00254185",213391
"318","H2TX30079",2018,"C00501924",213392
"319","H2TX31044",2018,"C00371203",213394
"320","H2TX33040",2018,"C00498121",213395
"321","H2TX33073",2018,"C00506832",213396
"322","H2TX35011",2018,"C00497933",213401
"323","H2UT01094",2018,"C00374231",213406
"324","H2UT02324",2018,"C00506931",213407
"325","H2UT04023",2018,"C00505776",213408
"326","H2UT04023",2018,"C00567677",213409
"327","H2VA06115",2018,"C00551648",213413
"328","H2VA06115",2018,"C00257956",213412
"329","H2VI00082",2018,"C00528182",213420
"330","H2WA06129",2018,"C00514893",213421
"331","H2WI02124",2018,"C00502179",213426
"332","H2WY00133",2018,"C00532721",213429
"333","H4AL01123",2018,"C00567511",213433
"334","H4AL01123",2018,"C00545673",213432
"335","H4AL03053",2018,"C00668236",219431
"336","H4AL03061",2018,"C00569699",213435
"337","H4AL06098",2018,"C00551374",213436
"338","H4AR02141",2018,"C00551275",213438
"339","H4AR04048",2018,"C00548180",213439
"340","H4AS00036",2018,"C00393041",213440
"341","H4AZ01145",2018,"C00572057",213443
"342","H4AZ04024",2018,"C00367110",213446
"343","H4AZ06045",2018,"C00558262",213449
"344","H4AZ06045",2018,"C00540617",213448
"345","H4AZ06045",2018,"C00440727",213447
"346","H4AZ07043",2018,"C00558627",213451
"347","H4CA02098",2018,"C00543553",213455
"348","H4CA10075",2018,"C00543843",213463
"349","H4CA11081",2018,"C00398644",213464
"350","H4CA12055",2018,"C00503185",213465
"351","H4CA12089",2018,"C00632158",216725
"352","H4CA12089",2018,"C00608661",213466
"353","H4CA16049",2018,"C00289603",213470
"354","H4CA20082",2018,"C00391029",213475
"355","H4CA20082",2018,"C00404350",217541
"356","H4CA23011",2018,"C00167585",213481
"357","H4CA24142",2018,"C00572560",213484
"358","H4CA25123",2018,"C00554014",213488
"359","H4CA25123",2018,"C00630319",213489
"360","H4CA26139",2018,"C00583120",213491
"361","H4CA26139",2018,"C00637108",216958
"362","H4CA30123",2018,"C00581058",213497
"363","H4CA33119",2018,"C00561852",213503
"364","H4CA33119",2018,"C00556506",213502
"365","H4CA35031",2018,"C00557652",213510
"366","H4CA42078",2018,"C00544189",213511
"367","H4CA42078",2018,"C00632836",216742
"368","H4CA45097",2018,"C00546853",213517
"369","H4CA45097",2018,"C00564674",213518
"370","H4CA45097",2018,"C00567677",213519
"371","H4CO04090",2018,"C00573378",213537
"372","H4CO04132",2018,"C00563478",213538
"373","H4DC00092",2018,"C00566869",213544
"374","H4DC00092",2018,"C00685990",221821
"375","H4FL14091",2018,"C00620211",213561
"376","H4FL17037",2018,"C00562421",213565
"377","H4FL17037",2018,"C00574236",213566
"378","H4FL19058",2018,"C00691097",222016
"379","H4FL19058",2018,"C00541359",213570
"380","H4FL20023",2018,"C00385773",213575
"381","H4FL20023",2018,"C00545582",213576
"382","H4FL20064",2018,"C00550848",213577
"383","H4FL22110",2018,"C00564948",213580
"384","H4FL26038",2018,"C00546846",213581
